year,city,country,avg_temp,
1796,Delhi,India,25.03,
1797,Delhi,India,26.71,
1798,Delhi,India,24.29,
1799,Delhi,India,25.28,
1800,Delhi,India,25.21,
1801,Delhi,India,24.22,
1802,Delhi,India,25.63,
1803,Delhi,India,25.38,
1804,Delhi,India,25.68,
1805,Delhi,India,25.3,25.273
1806,Delhi,India,25.22,25.292
1807,Delhi,India,24.97,25.118
1808,Delhi,India,,
1809,Delhi,India,,
1810,Delhi,India,,
1811,Delhi,India,,
1812,Delhi,India,,
1813,Delhi,India,24.56,
1814,Delhi,India,23.73,
1815,Delhi,India,24.09,
1816,Delhi,India,23.7,
1817,Delhi,India,23.86,
1818,Delhi,India,24.37,
1819,Delhi,India,23.9,
1820,Delhi,India,24.12,
1821,Delhi,India,24.83,
1822,Delhi,India,24.93,24.209
1823,Delhi,India,24.63,24.216
1824,Delhi,India,25.3,24.373
1825,Delhi,India,25.11,24.475
1826,Delhi,India,25.12,24.617
1827,Delhi,India,25.36,24.767
1828,Delhi,India,24.9,24.82
1829,Delhi,India,24.71,24.901
1830,Delhi,India,25.07,24.996
1831,Delhi,India,24.43,24.956
1832,Delhi,India,24.62,24.925
1833,Delhi,India,24.85,24.947
1834,Delhi,India,24.82,24.899
1835,Delhi,India,23.9,24.778
1836,Delhi,India,24.54,24.72
1837,Delhi,India,24.42,24.626
1838,Delhi,India,24.38,24.574
1839,Delhi,India,24.45,24.548
1840,Delhi,India,24.72,24.513
1841,Delhi,India,24.49,24.519
1842,Delhi,India,24.78,24.535
1843,Delhi,India,24.75,24.525
1844,Delhi,India,24.36,24.479
1845,Delhi,India,24.6,24.549
1846,Delhi,India,25.16,24.611
1847,Delhi,India,24.66,24.635
1848,Delhi,India,24.45,24.642
1849,Delhi,India,24.49,24.646
1850,Delhi,India,24.78,24.652
1851,Delhi,India,24.76,24.679
1852,Delhi,India,24.65,24.666
1853,Delhi,India,24.88,24.679
1854,Delhi,India,25.02,24.745
1855,Delhi,India,25.24,24.809
1856,Delhi,India,23.86,24.679
1857,Delhi,India,24.3,24.643
1858,Delhi,India,,
1859,Delhi,India,,
1860,Delhi,India,,
1861,Delhi,India,,
1862,Delhi,India,,
1863,Delhi,India,,
1864,Delhi,India,,
1865,Delhi,India,,
1866,Delhi,India,,
1867,Delhi,India,,
1868,Delhi,India,,
1869,Delhi,India,,
1870,Delhi,India,24.89,
1871,Delhi,India,24.88,
1872,Delhi,India,24.94,
1873,Delhi,India,25.06,
1874,Delhi,India,24.25,
1875,Delhi,India,25.38,
1876,Delhi,India,24.93,
1877,Delhi,India,25.08,
1878,Delhi,India,25.18,
1879,Delhi,India,24.86,24.945
1880,Delhi,India,25.45,25.001
1881,Delhi,India,25.09,25.022
